groupID,25,26,20,21,23,28,29,1,3,2,4,7,9,8,13,12,15,14,16,19,18,31,30,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,62,63,35,83,82,69,24,25,26,27,22,28,3,2,4,7,6,9,13,70,79,11,10,39,12,15,14,19,56,51,50,53,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,4,1,2,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,36,25,27,20,21,48,23,46,44,45,42,43,40,41,1,3,2,5,4,7,6,9,8,12,11,10,39,38,15,17,19,32,49,37,50,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,56,37,24,25,26,27,21,22,49,47,45,42,29,40,41,1,3,2,5,4,7,6,9,8,30,11,10,13,38,14,17,55,18,23,51,36,53,52,19,54,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,1,1,1,4,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,82,25,26,20,21,47,44,42,43,40,41,1,2,5,7,6,9,8,73,91,59,93,10,13,15,14,16,19,18,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,24,25,26,27,20,21,23,28,1,5,7,6,9,8,12,10,13,38,15,14,17,16,19,18,31,30,37,36,35,34,33,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,30,60,61,62,63,64,65,67,32,24,26,20,21,48,49,46,23,45,42,40,3,5,4,6,9,8,38,15,17,19,54,31,56,50,55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,1,1,4,1,3,2,2,2,4,1,2,2,4,1,3,1,4,1,4,4,3,4,2,1,3,1,1,4,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,25,15,21,17,16,32,31,30,28,29,1,3,2,5,4,6,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,24,25,26,20,22,46,43,40,41,1,5,4,7,6,9,11,13,12,14,17,19,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,30,28,29,60,61,62,64,65,66,67,68,69,80,81,87,84,85,24,25,26,27,57,23,46,82,45,42,43,40,41,5,7,6,8,83,13,77,76,75,12,73,72,71,70,15,78,10,39,38,59,58,17,55,32,31,56,37,36,19,74,88,18,33,90,,,,
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
groupID,30,37,29,60,61,62,63,64,65,66,67,82,69,80,81,86,87,84,85,24,25,26,27,20,21,48,23,47,44,45,28,43,1,2,5,7,6,8,83,13,77,75,12,73,72,70,15,79,78,11,39,38,59,14,17,19,18,31,56,51,36,35,52,55,74,54,57,50
7,1,2,1,1,3,4,3,1,2,1,3,1,3,1,1,4,1,1,2,2,1,2,2,1,1,3,1,2,1,2,1,4,4,2,1,4,3,1,4,2,1,1,2,2,2,4,1,3,2,1,2,2,2,1,2,1,1,1,1,2,1,1,3,1,1,3,1,1
groupID,30,36,60,61,62,65,66,67,68,69,80,81,86,84,85,24,25,26,27,20,21,22,23,47,44,29,1,82,2,4,7,14,83,77,76,75,74,72,71,70,15,79,78,11,10,13,12,59,58,17,33,32,57,56,51,50,34,48,,,,,,,,,,
6,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,2,1,2,1,1,,,,,,,,,,
groupID,36,24,25,26,27,20,21,22,23,46,47,45,28,29,40,1,3,2,5,4,7,6,9,8,12,11,10,13,38,15,14,17,16,19,18,30,51,50,35,33,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
groupID,28,60,61,88,63,64,53,66,82,80,81,86,84,85,25,26,27,21,22,23,46,47,44,48,42,40,41,2,5,7,14,9,8,13,77,76,75,12,73,72,71,70,15,79,78,10,39,38,59,58,17,16,33,54,31,56,51,50,35,52,55,74,37,18,57,,,
8,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,2,4,3,1,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,3,1,1,1,1,1,1,1,2,1,1,1,1,1,,,